brand,country,industry,website,products,description,mission,overall_score,environment_score,environment_products,environment_practices,environment_outputs,environment_inputs,certification
givily,United States,management  consultant - for-profits,givily.com,non profit software,we streamline the charitable giving process & help you utilize donation request data as part of your marketing strategy,"givily's three-part mission incorporates service, economic transparency, and a societal/environmental mission to strengthen nonprofits through strategic partnerships with purpose-driven businesses.",105.0,12.2,unknown,12.2,2.5,1.7,b-corp
"giving assistant, inc.",United States,web portals,www.givingassistant.org,e-commerce rewards platform to save money and give back.,giving assistant is a rewards platform that makes it easy for shoppers to both save money and give back for free. we are committed to raising $17 million for charitable organizations by 2020.,to transform everyday shopping into charitable giving.,84.3,7.1,unknown,7.1,0.0,1.7,b-corp
givn goods,United States,beverages,www.givnwater.com,premium north american spring water,"givn water is a premium north american spring water, bottled responsibly, and for every bottle sold we fund one day of clean water for a person in need.",our mission is to turn the everyday purchase of bottled water into meaningful good for people in need.  our vision is to allow customers to give in every purchase they make.,102.0,5.6,0.0,4.7,1.3,1.9,b-corp
gladrags,United States,personal care products,www.gladrags.com,personal care products,"gladrags cloth pads and menstrual cups are better for women's bodies, their budgets, and then environment. empowering women to make a more comfortable choice in period protection since 1993.",our mission is to provide high quality sustainable menstrual products and empower women by positively transforming the experience of menstruation.,106.1,29.8,unknown,13.2,1.5,7.8,b-corp
glamcorner,Australia,general retail via internet,glamcorner.com.au,unknown,unknown,unknown,82.0,17.7,unknown,17.7,2.3,5.2,b-corp
glatt stove,Mexico,other/general wholesale trade,www.glattstove.com,clean cookstoves and fuel,we sell and distribute clean cookstoves and fuel for people to stop using biomass.,"ser la solución más económica, ecológica, y eficiente. para cambiar la vida de la gente que muere por cocinar con humo.",113.0,28.5,unknown,18.4,6.2,7.3,b-corp
global centre of research and engagement,Singapore,higher education,www.gcore.com,consulting (risk/health and safety); teaching; satellite & mobile tracking/comms,"social enterprise, education and training, field research, deployment support, health and safety, risk management, research, research training","gcore exists to connect, prepare and protect the global academic and humanitarian communities.",84.4,3.8,unknown,3.5,1.1,0.0,b-corp
global cycling adventures,New Zealand,other recreation,globalcyclingadventures.com,bicycle tours,"global cycling adventures offer active journeys to incredible places. we create and operate guided mountain biking, road cycling and lifestyle tours to worldwide destinations for people seeking a life-changing travel experience.","global cycling adventures aspires to provide visitors with a high quality, active tourism experience, which meets or exceeds their expectations. our goal is to deliver a highly memorable and safe holiday for our clients by sharing with them the beauty of",80.3,11.2,unknown,11.2,1.1,5.3,b-corp
global emergency group (geg),United States,management consultant - nonprofits,www.globalemergencygroup.com,international humanitarian aid consulting services,global emergency group is a humanitarian consulting firm dedicated to enhancing the capacity of emergency humanitarian aid actors to respond to those most in need more efficiently and effectively.,to enable humanitarian actors to better respond to those most in need so as to reduce suffering and save lives.,87.5,0.0,unknown,0.0,0.0,0.0,b-corp
global gaming initiative,United States,mobile applications,www.globalgaminginitiative.com,mobile games,global gaming initiative produces games related to social causes and provides users a way to directly impact communities around the world in doing so. the company has grown into an organization that co-develops many games for good with other publishers.,global gaming initiative is driven to use technology as a force for good and to be a part of direct impact through entertainment and fun.,106.6,2.2,unknown,2.2,1.1,0.8,b-corp
global leadership foundation,Australia,management consultant - nonprofits,www.globalleadershipfoundation.com,leadership and organisational development,we provide leadership pathways and build leadership capability for people from all walks of life,to raise the emotional health levels of leaders on the planet,109.4,13.0,unknown,12.3,3.3,1.0,b-corp
global policy solutions llc,United States,services: business services,globalpolicysolutions.com,"advocacy, cause-related marketing, project management, strategic consulting","global policy solutions is a mission-driven strategy firm dedicated to providing quality research, project management, and training services to corporations, philanthropy, and government agencies.",global policy solutions is a strategy firm that is dedicated to driving society towards inclusion.,100.7,4.3,unknown,3.8,0.7,1.0,b-corp
global prairie,United States,advertising & market research,www.global-prairie.com,strategic marketing consulting,"we serve clients whose businesses improve the health of people, communities and the environment,  offering strategic marketing consulting; branding & advertising; digital strategy & development; insights & analytics; and medical communications.","global prairie is a global marketing firm that exists to cultivate a healthier world. we develop world-class marketing solutions for businesses that improve health, striving as a b corp to be the best in the world so we can be better for the world.",116.7,11.4,unknown,10.3,0.7,1.0,b-corp
